Generation,Min Fitness,Max Fitness, Average Fitness
0,56.3587154323072,872.909128886447,379.892176391076
1,102.904307108291,1370.41865088709,609.070664544812
2,105.233015666468,1370.41865088709,787.163120299217
3,96.4477713162372,1530.12508385255,858.089620578713
4,265.111464491645,1626.56631084066,1187.73446366871
5,205.401991788347,1711.54141252978,1289.58807592471
6,235.450451758811,1762.33623969515,1372.44435770689
7,303.99903879598,1776.069864459,1463.41132062453
8,218.759484053106,1812.035957989,1515.71235770396
9,293.558649245538,1858.22507111825,1585.34178232162
10,226.316064877766,1878.41173941753,1457.27157609387
11,220.19373194769,1943.09098996495,1543.10700882039
12,246.196674062208,1961.38354454784,1537.26291136103
13,230.064257727355,1987.05922202978,1631.29954780368
14,155.24382049603,2032.08991886145,1720.76694020537
15,197.613957850017,2104.11778634245,1728.47916740076
16,379.882176585389,2260.70126368391,1775.66807205927
17,489.485836091392,2265.11146262625,1889.0523443078
18,360.01714477833,2278.65181175738,1870.49732810808
19,347.86519821647,2328.1854849276,1967.36255704059
20,1097.7006553676,2341.72583405873,2223.94858737438
21,1123.51014153507,2378.80815694386,2249.01638638147
22,841.44758431985,2378.80815694386,2275.89440849867
23,696.047271540798,2545.04762838461,2134.71676911027
24,709.057575035491,2549.21664499981,2233.9172303055
25,460.665036542123,2556.14683730196,2147.86296372288
26,568.463141381342,2569.90787950607,2353.66956411336
27,353.223719447697,2802.14238722051,2312.57785951248
28,402.152665603084,2802.14238722051,2334.48317173174
29,409.554987577593,2987.12031325792,2292.17258945773
30,985.078662318382,2987.12031325792,2656.68574836036
31,1194.81540321745,3077.19333607523,2671.53258008718
32,1367.76960679867,3102.94026811357,2927.39625283255
33,967.289901332111,3174.19027357417,2897.36188825009
34,836.897248908288,3179.27470235533,2741.15597511276
35,426.035457070926,3220.58984297063,2736.8647927365
36,573.636939831972,3226.87850015423,2846.84901635404
37,277.124684705723,3286.16686822452,2796.85347769016
38,625.293600607855,3286.16686822452,2748.9348605342
39,641.372851161343,3377.04186253927,2840.09731757439
40,617.282924452504,3952.00689618149,3054.5710185778
41,516.223055251799,4046.61350660576,2787.06559344979
42,362.374943726531,4046.61350660576,2945.27280225424
43,446.985989952977,4099.64128158964,3580.91946420606
44,648.556387809639,4099.64128158964,3934.8693660994
45,1316.16342970136,4105.30418849049,3811.21085846841
46,1051.5120210592,4132.43438278945,3914.26482097449
47,893.456052759644,4132.43438278945,3809.66995500622
48,484.33617688211,4191.97384782238,3535.26161047776
49,530.911368313409,4191.97384782238,3848.09166124999
50,149.742243790448,4250.40745051465,3670.37563053206
51,515.153578651581,4250.40745051465,3988.64132505972
52,365.203472284183,4250.40745051465,3729.46144179143
53,380.747206204212,4295.59511534216,3904.3622402401
54,2822.9418037153,4301.22187023176,4138.66884950806
55,946.087893425732,4301.22187023176,4075.88105696496
56,468.785510503564,4346.40953505928,4078.01277022396
