Generation,Min Fitness,Max Fitness, Average Fitness
0,46.1133407349835,1176.9265483545,432.576568696108
1,124.178344341324,1234.37165674294,645.703574297839
2,221.411577564786,1438.61248112632,921.234493719797
3,312.101582420116,1556.45901730386,1153.28364201318
4,379.917290839269,1717.90809790893,1235.19863423933
5,576.008348304754,1862.49778019802,1387.06968755066
6,413.429036131278,1892.87436071907,1489.68850134489
7,537.96448803035,2009.0441370948,1648.67995538854
8,426.658132359863,2145.71323876314,1762.91735967505
9,612.538867987633,2293.78039740937,1772.27281396283
10,435.387140762012,2294.07833262747,1813.01411506845
11,460.082281784266,2382.39604811684,1930.17076789158
12,442.15413516694,2418.03109399642,2014.90250431547
13,353.789086260373,2442.07886232242,2055.89626202056
14,358.551860074237,2447.6334511741,2170.5109613562
15,280.855332521692,2459.81670588477,2218.46537915028
16,496.961520453802,2489.0008831295,2301.19526848362
17,502.367611166117,2506.28052714973,2302.030285388
18,275.081989954601,2543.55071542208,2143.81955273714
19,438.52940988715,2565.95542681942,2233.80506728425
20,464.244996719495,2623.0689998994,2190.5394497543
21,409.591383072185,2638.46907880202,2120.0406037499
22,546.915357883081,2767.12656627525,2314.67714905355
23,924.117835672913,2816.95998899547,2428.74861225266
24,435.956055458891,2816.95998899547,2518.62915435896
25,295.596885232148,2870.13785188259,2387.18869723462
26,344.989528299581,3038.60402834183,2584.4185429999
27,309.821493983782,3038.60402834183,2554.90557490329
28,298.130907810038,3038.60402834183,2489.19693568687
29,248.298501323375,3105.67880406528,2856.35176944084
30,284.259375921507,3111.77556466327,2888.851899456
31,263.588762009116,3166.63480122148,2572.23704844403
32,314.536923141058,3170.08137679188,2632.93629515492
33,292.147658624385,3177.56008451215,2801.078731532
34,302.509118785639,3631.45919390661,2731.17249728491
35,389.762857404168,3631.45919390661,2819.85410482289
36,338.748691970353,3631.45919390661,2700.65836195508
37,254.948425563713,3730.80321638884,2795.12141030913
38,484.24149018257,3730.80321638884,3373.15233079813
39,230.162818845801,3833.75353929939,3254.25918902415
40,412.566944769319,4033.77357016119,3397.39928560518
41,458.926208969152,4119.760617592,3467.98446237748
42,305.527468272441,4119.760617592,3393.47175644881
43,389.269453844314,4122.38781915886,3726.57242340824
44,1078.37057068214,4191.30858832369,3757.85662146852
45,1687.8473559654,4191.30858832369,3970.310417467
46,1371.35379650997,4227.8815433071,3849.40949993074
47,1448.53858949079,4227.8815433071,3986.52308767883
48,443.306572984248,4227.8815433071,3979.92434676029
49,450.066626177861,4230.99417170113,3876.24098487788
50,2729.7470596165,4245.75814187307,4119.85433266928
51,813.056485436711,4245.75814187307,4074.44264128152
52,709.386818469135,4245.75814187307,4024.42953046213
53,495.10557396016,4249.56549679512,3839.75835714623
54,2223.47958931995,4249.56549679512,4131.37149555372
55,1653.87098605358,4333.50829102681,4028.14202416905
56,1247.93780232369,4333.50829102681,3984.16766328285
57,654.755975214504,4337.31564594887,3942.6725108604
58,891.554927443202,4337.31564594887,3815.07533277188
59,1965.44317390713,4337.31564594887,4121.75187659934
60,1997.21841581964,4337.31564594887,4140.15784375198
61,2826.69938990615,4337.31564594887,4230.71611933627
62,2566.97207491194,4337.31564594887,4202.50409449886
63,2566.97207491194,4337.31564594887,4214.14601783243
64,2834.34109557166,4337.31564594887,4253.70601539675
65,2566.97207491194,4346.40953505928,4239.57879001466
