Generation,Min Fitness,Max Fitness, Average Fitness
0,72.8867988471379,1055.05416828883,414.467707333388
1,63.5776255450581,1194.85372043173,669.867471908257
2,90.3574529871135,1355.0836635812,879.323136072173
3,79.9277967411016,1537.62455826919,870.140676076988
4,246.73406349282,1596.65293174503,1024.53551998519
5,258.021805492103,2055.2877809542,1158.99777517936
6,202.215127569982,2055.2877809542,1333.95052378878
7,165.10942995417,2055.2877809542,1471.02345877596
8,107.532217476561,2115.03474980726,1784.88027155966
9,1126.37006766358,2122.00505982224,1975.77915875914
10,534.352337329696,2271.18922290094,1925.89315158657
11,80.2044607013657,2271.18922290094,1928.99477839105
12,99.3712117037758,2298.72722762981,1949.34294035449
13,70.3831169563917,2371.77035345422,1994.31561428473
14,308.258218201782,2393.35426499581,2052.39683891035
15,134.921726490825,2430.11734120581,2090.40492158334
16,136.0253551895,2446.49004385984,2137.19821253983
17,160.926972113093,2475.96068326418,2116.07989721856
18,135.631329130093,2531.50031609371,2276.8776551234
19,141.200645800265,2531.50031609371,2197.49317011131
20,182.741289868747,2531.50031609371,2151.26010921753
21,937.049311159108,2543.09921698851,2377.65754631306
22,1180.73534903585,2544.33479770629,2447.84044091318
23,471.228912188898,2544.33479770629,2259.07852297405
24,244.660803516043,2546.39933795848,2298.22042657127
25,150.692388482017,2546.39933795848,2342.14596069614
26,167.482419757715,2565.4535290426,2303.14295724984
27,399.799244936817,2567.51806929479,2436.95857626031
28,142.650195806263,2567.51806929479,2343.41084668573
29,412.386394594716,2567.51806929479,2264.67996712126
30,1015.76958103635,2567.51806929479,2500.18210538826
31,1525.77397024948,2567.51806929479,2510.5359275677
32,1516.1694170204,2567.51806929479,2504.32285405226
33,1591.31923546596,2567.51806929479,2497.7187018368
34,1523.37328935377,2595.26971259405,2513.46904927727
35,464.32995503391,2595.26971259405,2502.56029373966
36,106.062408194111,2595.26971259405,2354.4561816332
37,133.319845173792,2595.26971259405,2420.12133004751
38,1562.61772629593,2595.26971259405,2535.23967213752
39,1573.86389724258,2595.26971259405,2544.32119391701
40,1573.86389724258,2595.26971259405,2534.52416239049
41,1557.73578205745,2595.26971259405,2540.70136809538
42,1562.61772629593,2595.26971259405,2533.97652034726
43,1557.73578205745,2595.26971259405,2525.6881068754
44,1557.73578205745,2595.26971259405,2537.40322572495
45,1373.22233323208,2595.26971259405,2530.74492415592
46,1555.41385396256,2595.26971259405,2533.02410017646
47,1562.61772629593,2595.26971259405,2549.98307769471
48,1661.49096571959,2595.26971259405,2538.3954148257
49,1622.84987059308,2595.26971259405,2537.36321201807
50,1555.41385396256,2595.26971259405,2520.94835411385
51,1689.60684079926,2595.26971259405,2537.59155687161
52,1555.41385396256,2595.26971259405,2526.71705867813
53,1555.41385396256,2595.26971259405,2536.83706822443
